id,cod_linha_transm,tensao_linha_transm,cod_ltransm,nome_linha_transm,circuito_linha_transm,data_linha_transm,cod_operacional_linha_transm,coord_linha_transm
1,1,500,LGZSOBW1,LUIZ GONZAGA-SOBRADINHO,C1,307584000000,05C3,"[[[-38.303784560999986, -9.146025710999993], [-38.30193391900002, -9.147044950000009], [-38.30161800600001, -9.148182292000001], [-38.30130234400002, -9.149325164000004], [-38.30184129999998, -9.150510617000009], [-38.302448067, -9.15181039700002], [-38.30348583099999, -9.153632625], [-38.305887584000004, -9.157758117000014]]]"
2,2,500,SOBLGZW2,SOBRADINHO-LUIZ GONZAGA,C2,581126400000,05C4,"[[[-38.30762033299999, -9.155527041000028], [-38.30706389699998, -9.154660664000005], [-38.30539019700001, -9.152086164000025], [-38.30376092199998, -9.149387358000013], [-38.30378657199998, -9.14631405]]]"
3,3,500,AGDRCDW1,ANGELIM II-RECIFE II,C1,239241600000,05L8,"[[[-35.03880228999998, -8.119785707999995], [-35.03691625800002, -8.117391094000027]], [[-35.05486067099997, -8.12974114100001], [-35.05255663899999, -8.128791321999984], [-35.049808294, -8.127557086000024], [-35.046549244000005, -8.126249843999972], [-35.04227841400001, -8.124487717000022], [-35.039136875, -8.120210516999975], [-35.03880228999998, -8.119785707999995]], [[-35.395010786, -8.46451999300001], [-35.39402799999999, -8.463666999999987], [-35.391666999999984, -8.461277999999993], [-35.388584872000024, -8.457967433000022], [-35.38540301900002, -8.454820783000002], [-35.38238159399998, -8.451630297000008], [-35.380230461, -8.449430296999992], [-35.37813791899998, -8.447287967000022], [-35.37606499200001, -8.445240436000006], [-35.372910631000025, -8.441907121999975], [-35.371535746999996, -8.440520503000016], [-35.37012817200002, -8.439047549999998], [-35.36732101400003, -8.436279296999999], [-35.362883442, -8.431614394000007], [-35.358698694, -8.427342221999993], [-35.35634471899999, -8.424869058000013], [-35.35489273100001, -8.423421861000008], [-35.35264637199998, -8.421074068999985], [-35.350837893999994, -8.419209850000016], [-35.348158282999975, -8.416544488999989], [-35.346258272, -8.414535763999993], [-35.343523092, -8.411780969000006], [-35.3405305, -8.40855209199998], [-35.338124306, -8.406110443999978], [-35.33622287200001, -8.404215713999974], [-35.334199480999985, -8.402085285999988], [-35.330913857999974, -8.398682569000016], [-35.328527447, -8.396393889000024], [-35.325843643999974, -8.39376951700001], [-35.324274719000016, -8.392235964000008], [-35.322256192, -8.390278619000014], [-35.32014546099998, -8.388267718999998], [-35.31853848100002, -8.386657555999989], [-35.31608543300001, -8.384192186000007], [-35.31436538600002, -8.382614135999972], [-35.31205105599997, -8.380287055999986], [-35.31056511100002, -8.378813182999977], [-35.3086586, -8.377115249999974], [-35.306780514000025, -8.375221789000022], [-35.30474438300001, -8.373196302999986], [-35.302693164000004, -8.371205766999992], [-35.299415839000005, -8.367978567000023], [-35.29717887800001, -8.365840510999988], [-35.29526210300003, -8.363989199999992], [-35.29274367800002, -8.361519052999995], [-35.29116343599998, -8.35984627800002], [-35.28854369999999, -8.35733413600002], [-35.286022186000025, -8.354900360999977], [-35.283284364, -8.352159067000002], [-35.282097822000026, -8.351070342000014], [-35.27860801700001, -8.347678269000028], [-35.276020018999986, -8.345192783000016], [-35.272891894, -8.342109918999995], [-35.26667042499997, -8.335967574999984], [-35.261863405999975, -8.331360464], [-35.260004717000015, -8.329526752999982], [-35.257449914000006, -8.327013775000012], [-35.254035964000025, -8.323698982999986], [-35.25129072499999, -8.321026330999985], [-35.249551311000005, -8.319249868999975], [-35.24597366400002, -8.315709771999991], [-35.244235256000024, -8.314162221999993], [-35.241146442, -8.311094614000012], [-35.23556954200001, -8.305617960999996], [-35.231050692, -8.301247049999972], [-35.22786162800003, -8.298100482999985], [-35.224415072, -8.294703466999977], [-35.221698247000006, -8.29205629400002], [-35.21905870299997, -8.289426556000024], [-35.217166152999994, -8.287661243999992], [-35.21596401900001, -8.286433041999999], [-35.213574842000014, -8.28415634999999], [-35.21104811700002, -8.281623172000025], [-35.20771027500001, -8.278337131], [-35.203790561000005, -8.274550019000003], [-35.20225633899997, -8.273084528000027], [-35.20057409200001, -8.271433794000018], [-35.19567520300001, -8.266574219000006], [-35.18976989999999, -8.260885925000025], [-35.18493480000001, -8.256138496999995], [-35.183014172000014, -8.254242594000004], [-35.180808472000024, -8.252178886000024], [-35.17519980600002, -8.24660953099999], [-35.174207389, -8.245610324999973], [-35.16878756699998, -8.240296031000014], [-35.166870292, -8.238445306000017], [-35.16340638600002, -8.23504426400001], [-35.160578164000015, -8.232359878000011], [-35.158093767000025, -8.229874725000002], [-35.154851983000015, -8.226832010999999], [-35.15284501899998, -8.224752544000012], [-35.14919863900002, -8.221246897000015], [-35.145722917, -8.21783588300002], [-35.143154786000025, -8.215313433000006], [-35.141404056, -8.213605872000016], [-35.13864121400002, -8.210831797000026], [-35.136610530999974, -8.208912005999991], [-35.13487243600002, -8.207203864000007], [-35.132617056000015, -8.20506161100002], [-35.13069919399999, -8.203126816999998], [-35.12883128599998, -8.201261675000012], [-35.12802335600003, -8.200517613999978], [-35.124331125000026, -8.196975839000004], [-35.12041929200001, -8.193074233000004], [-35.11790396700002, -8.190672817000006], [-35.11494892799999, -8.187704450000012], [-35.112439635999976, -8.185363635999977], [-35.10870985600002, -8.181693785999983], [-35.10539514999999, -8.178379749999976], [-35.10106413599999, -8.174135068999988], [-35.099304691999976, -8.172454500000015], [-35.096164327999986, -8.169433910999999], [-35.090533617000006, -8.163898253000013], [-35.087660718999985, -8.16103055299999], [-35.08321085, -8.156672214000025], [-35.080363266999996, -8.15385446900001], [-35.078696944, -8.152217732999986], [-35.074377330999994, -8.147888566999995], [-35.07126764399999, -8.144852221999997], [-35.06930175299999, -8.142955228000005], [-35.068196011, -8.141819397000006], [-35.06543040299999, -8.139077089000011], [-35.06347322800002, -8.137165177999975], [-35.06049639399998, -8.13420795799999], [-35.05873426699998, -8.132481706000021], [-35.056762005999985, -8.130524949999995], [-35.05486067099997, -8.12974114100001]], [[-35.39651708500003, -8.466151787000001], [-35.395167517000004, -8.46465602500001], [-35.395010786, -8.46451999300001]], [[-36.291630896000015, -8.896684946999983], [-36.287664939000024, -8.895724563999977], [-36.28403222200001, -8.894871621999982], [-36.28073394199998, -8.894137366999985], [-36.27803773599999, -8.89425647500002], [-36.275644450000016, -8.894353955999975], [-36.27205464999997, -8.894530814000007], [-36.269011517000024, -8.894680849999986], [-36.267003210999974, -8.894780174999994], [-36.263005127999975, -8.894963069000028], [-36.258756592, -8.895160713999985], [-36.254313680999985, -8.895368167000015], [-36.25214016899997, -8.895472939000001], [-36.25017855300001, -8.895560613999976], [-36.24760178899999, -8.895676200000025], [-36.24582675300002, -8.895745938999994], [-36.24263618100002, -8.895888180999975], [-36.240375583, -8.896007538999982], [-36.23618513299999, -8.896213481000018], [-36.234256039, -8.896292271999982], [-36.228941324999994, -8.896547164000026], [-36.22509126699998, -8.896720335999987], [-36.22162987500002, -8.896897781000007], [-36.21520455799998, -8.897199444000023], [-36.20948298899998, -8.897471688999985], [-36.206653760999984, -8.897603703000016], [-36.20337526399999, -8.897761703000015], [-36.19638961700002, -8.898067724999976], [-36.19389197800001, -8.89823603299999], [-36.18754746399998, -8.898497550000002], [-36.18397048600002, -8.898661500000003], [-36.17860841700002, -8.898877753000022], [-36.17327978899999, -8.89914094400001], [-36.16418073099999, -8.899583760999974], [-36.15715149699997, -8.899931944000002], [-36.15310429599998, -8.900101092], [-36.148316217, -8.900296642], [-36.14251803600001, -8.90063719699998], [-36.13302603300002, -8.900748007999994], [-36.12794416999998, -8.900790839000024], [-36.12422595700002, -8.900846410999975], [-36.11806198900001, -8.900925200000017], [-36.11600867499999, -8.900958893999984], [-36.110127428, -8.90105855600001], [-36.10550128900002, -8.901117817], [-36.10412715799998, -8.901045899999986], [-36.099469672, -8.899817867000024], [-36.092579914, -8.898075018999975], [-36.09063740800002, -8.897557939000023], [-36.086440505999974, -8.896494191999977], [-36.07932980300001, -8.894686632999992], [-36.075745446999974, -8.893737633], [-36.071898406, -8.892756363999979], [-36.067575019, -8.891640732999974], [-36.06183492500003, -8.890128053000012], [-36.05880218599998, -8.889355324999997], [-36.05248809699998, -8.887728816999982], [-36.048062705999996, -8.886560460999988], [-36.045845692, -8.885980603000007], [-36.04340504700002, -8.885393449999981], [-36.038703639000005, -8.884127028000023], [-36.036237097000026, -8.88348505800002], [-36.02876068900002, -8.881527967000011], [-36.02125469700002, -8.879553192000003], [-36.01495418600001, -8.877912349999974], [-36.012416230999975, -8.877267447000008], [-36.010109193999995, -8.876654643999984], [-36.00216616900002, -8.874608792000004], [-35.99851727499998, -8.87363372499999], [-35.995282110999995, -8.872787656000014], [-35.98775507800002, -8.87081262800001], [-35.98359631400001, -8.869707725000012], [-35.98061545799999, -8.868907755999999], [-35.974436989000026, -8.867261550000023], [-35.968692955999984, -8.865701761000025], [-35.96662899400002, -8.865125755999998], [-35.959857338999996, -8.863274613999977], [-35.955780549999986, -8.862177003], [-35.94951759200001, -8.860483355999975], [-35.946940239000014, -8.859790006000026], [-35.94387447499997, -8.858932618999972], [-35.94146358900002, -8.858272881000005], [-35.93481891699997, -8.856456103000028], [-35.93138082799999, -8.855533591999972], [-35.92646626700002, -8.854136327999981], [-35.92305743100002, -8.85324155799998], [-35.91556241699999, -8.851185814000019], [-35.91113157500001, -8.849344057999986], [-35.90846445300002, -8.848235382999974], [-35.904101672000024, -8.846412068999996], [-35.899231285999974, -8.844378785999993], [-35.892439344000024, -8.841494405999981], [-35.890523074999976, -8.84074070600002], [-35.885206853, -8.83849393600002], [-35.880550872000015, -8.83655276899998], [-35.87541502800002, -8.834373561000007], [-35.87143597199997, -8.832691564000015], [-35.86827766900001, -8.831362864000027], [-35.863170997, -8.829238971999985], [-35.85993918600002, -8.827895771999977], [-35.85552978599998, -8.824254036000013], [-35.851089478000006, -8.820268630999976], [-35.84750630799999, -8.817049003000022], [-35.84586839999997, -8.815555264000011], [-35.84197291100003, -8.812040396999976], [-35.840933974999984, -8.811102714000015], [-35.837125069000024, -8.809198010999978], [-35.832574955999974, -8.806870272000026], [-35.828554908, -8.804846461000011], [-35.82519234199998, -8.80317863099998], [-35.82170731399998, -8.801388339000027], [-35.81970554700001, -8.800377063999974], [-35.816963155999986, -8.79384169399998], [-35.811075958, -8.789384616999996], [-35.809540981, -8.788244593999991], [-35.80608009399998, -8.785618375000013], [-35.80352755299998, -8.783676958000001], [-35.802284767, -8.782797194000011], [-35.80021368299998, -8.781253836000019], [-35.798321972, -8.779799407999974], [-35.79566356700002, -8.777839718999985], [-35.79256335299999, -8.775544083], [-35.787586850000025, -8.773225982999975], [-35.78425428899999, -8.771692683000026], [-35.78093488600001, -8.77016901899998], [-35.77521759199999, -8.767526874999987], [-35.7720468, -8.766037746999984], [-35.768194644000005, -8.764246031000027], [-35.76379523600002, -8.762205877999975], [-35.75871337199999, -8.759847125000022], [-35.75553344399998, -8.758374675000027], [-35.751428911000005, -8.75648740600002], [-35.74955161700001, -8.755609988999993], [-35.744254841999975, -8.753188206000004], [-35.741712275, -8.752027397000006], [-35.738232611, -8.750415136000015], [-35.73360638600002, -8.748264507999977], [-35.73148995600002, -8.747584903000018], [-35.72739916900002, -8.746243381], [-35.724954249999996, -8.745454139000003], [-35.72275676700002, -8.744750564000014], [-35.720565486, -8.744018992000008], [-35.717717483, -8.743088600000021], [-35.715071568999974, -8.741328736000014], [-35.712158941999974, -8.739371893999987], [-35.70732208099997, -8.736129607999999], [-35.70240877499998, -8.733838583000022], [-35.700383875, -8.732917411000017], [-35.696769097000015, -8.731258550000007], [-35.692496253, -8.729296010999974], [-35.68826213599999, -8.727309164000019], [-35.683029481000005, -8.724916214000018], [-35.67870978299999, -8.722907575000022], [-35.676352036000026, -8.721822788999987], [-35.67439645600001, -8.72091578300001], [-35.67060104400002, -8.719188442000018], [-35.66873288599999, -8.718312196999989], [-35.66436247799999, -8.716315543999997], [-35.661777836, -8.715115339000022], [-35.658909463999976, -8.713773899999978], [-35.65384922499999, -8.711445991999994], [-35.65028607800002, -8.709800707999989], [-35.644419081000024, -8.707087655999999], [-35.63999461100002, -8.705044230999988], [-35.637004031000004, -8.703675213999986], [-35.631531653000025, -8.701146225000002], [-35.62981571099999, -8.700340642000015], [-35.62576348099998, -8.698481282999978], [-35.62370270600002, -8.697511330999987], [-35.61989203899998, -8.69562665799998], [-35.61749904200002, -8.693115196000008], [-35.61508300000003, -8.690638999999976], [-35.612625014, -8.68814916399998], [-35.61073891900003, -8.686238844000002], [-35.608722, -8.684167000000002], [-35.606299275000026, -8.681578338999998], [-35.603229655999996, -8.678431855999975], [-35.601993408, -8.67727314199999], [-35.59876880600001, -8.674091621999992], [-35.596043681000026, -8.671094842000002], [-35.594439636000004, -8.669454922], [-35.591444000000024, -8.666360999999995], [-35.589978368999994, -8.664867588999982], [-35.58612621399999, -8.660928178000006], [-35.58463314400001, -8.65938590799999], [-35.58231085599999, -8.657024391999983], [-35.579127828000026, -8.653767938999977], [-35.57612760799998, -8.650713992000021], [-35.574806000000024, -8.649249999999995], [-35.57278741900001, -8.647170291999998], [-35.56868456400002, -8.642980511000019], [-35.565035083, -8.639199099999985], [-35.56356950600002, -8.637743080999996], [-35.56029603899998, -8.634289736000028], [-35.558085060999986, -8.632137933000024], [-35.55340829199997, -8.627263605999985], [-35.55049507799998, -8.624364892000017], [-35.546451569, -8.62020778599998], [-35.542296319, -8.615979383000024], [-35.539689296999995, -8.613215872000012], [-35.536976744000015, -8.610506169000018], [-35.534430911000015, -8.60776679700001], [-35.53201407199998, -8.605337299999974], [-35.52954903900002, -8.602851900000019], [-35.526695253000014, -8.600003242000014], [-35.52259800799999, -8.595701550000001], [-35.51724155599999, -8.590251971999976], [-35.515227046999996, -8.588120285999992], [-35.512231774999975, -8.585021746999985], [-35.510666872, -8.583454833000019], [-35.50725200300002, -8.579897053000025], [-35.505340089000015, -8.577927136000028], [-35.50373168599998, -8.576308757999982], [-35.501644424999995, -8.57412259199998], [-35.50011565, -8.572621391999974], [-35.49780023300002, -8.570163230999981], [-35.49605805599998, -8.568463047000023], [-35.492730774999984, -8.564980450000007], [-35.489760897, -8.561943516999975], [-35.487979408, -8.560082064000028], [-35.486986656, -8.559092247000024], [-35.485630128000025, -8.557677633000026], [-35.482356072000016, -8.554399552999996], [-35.48064239399997, -8.552584200000013], [-35.47811642200003, -8.550033252999981], [-35.47520186700001, -8.547016355999972], [-35.47309566400003, -8.544839238999998], [-35.470167000000004, -8.541832999999997], [-35.468361000000016, -8.539943999999991], [-35.46483739199999, -8.536253655999985], [-35.46216700000002, -8.533638999999994], [-35.458943999999974, -8.530250000000024], [-35.45755600000001, -8.52897200000001], [-35.453927841999985, -8.525232877999997], [-35.451669924999976, -8.522857360999978], [-35.447604033000005, -8.518714355999975], [-35.446714461, -8.517706933], [-35.443732513999976, -8.514621305999981], [-35.44128885600003, -8.512206311], [-35.437252047000015, -8.508002868999995], [-35.43503344200002, -8.505745957999977], [-35.43332906400002, -8.504022389], [-35.429706238999984, -8.50031909400002], [-35.427496599999984, -8.498058410999988], [-35.425953744000026, -8.496446739000021], [-35.423137508000025, -8.493561353000018], [-35.42117589200001, -8.491527399999995], [-35.41933296100001, -8.489685727999984], [-35.417167000000006, -8.487389000000007], [-35.41559094399997, -8.48579619200001], [-35.41258578100002, -8.482617018999974], [-35.41075000000001, -8.480833000000018], [-35.40722199999999, -8.477250000000026], [-35.40397200000001, -8.473916999999972], [-35.40174999999999, -8.471610999999996], [-35.39916699999998, -8.46888899999999], [-35.396806000000026, -8.46647200000001], [-35.39651708500003, -8.466151787000001]], [[-36.294687882999995, -8.895954983000024], [-36.29234460399999, -8.89662066599999]], [[-36.29234460399999, -8.89662066599999], [-36.291894028, -8.896748666999997], [-36.291630896000015, -8.896684946999983]]]"
