objectid,Código Gasoduto,Ramal,Código Material,Código Diâmetro,Finalidade,shape,st_length(shape)
126,92136,POSTO ONZE,AÇO,3,INDUSTRIAL,,0.000148337951712919
127,92133,INTERLIGAÇÃO SAINT GOBAIN/POSTO REAL,AÇO,3,INDUSTRIAL,,0.0004372596026052242
128,92131,INTERLIGAÇÃO SAINT GOBAIN/POSTO ONZE,AÇO,4,INDUSTRIAL,,1.5966527487215246e-7
129,92100,PE-15,AÇO,4,INDUSTRIAL,,0.006718902141888073
130,92129,P/ LEON HEIMER,AÇO,4,INDUSTRIAL,,0.003861878380184486
131,91949,PE-15,AÇO,4,INDUSTRIAL,,0.02820319393101839
132,92628,RESTAURANTE BOA OPÇÃO,PEAD,32,COMERCIAL,,0.000034485288747522474
133,92625,GUEDES GRILL DELIVERY,PEAD,32,COMERCIAL,,0.000020355353718370997
134,92622,ÁFRICA GRILL DELIVERY,PEAD,32,COMERCIAL,,0.000006152351095313075
135,92620,ÁFRICA GRILL DELIVERY,PEAD,32,COMERCIAL,,0.00011044785393451661
136,92619,R. DHÁLIA,PEAD,63,RESIDENCIAL/COMERCIAL,,0.000011998400560074665
137,92618,R. PROF. EDUARDO WANDERLEY,PEAD,63,RESIDENCIAL/COMERCIAL,,0.001512884401494842
138,91971,PE-15,AÇO,8,INDUSTRIAL,,0.0000017239512754135483
139,92362,SERQUIP,AÇO,6,INDUSTRIAL,,1.2083045973594573e-8
140,92316,HACATA (PIPOCAS KARINTÓ),AÇO,1,INDUSTRIAL,,0.002996478386335491
141,92314,POSTO CEMOPEL,AÇO,3,INDUSTRIAL,,1.938685121416059e-7
142,92312,POSTO CEMOPEL,AÇO,3,INDUSTRIAL,,0.006429984873094501
143,92270,EDIF. CASTELLO SAINT ANGELO,PEAD,32,RESIDENCIAL,,0.00006321533701563252
144,92264,EDIF. TAQUARI,PEAD,32,RESIDENCIAL,,0.00005774988228466541
145,92098,P/RENDA,AÇO,4,INDUSTRIAL,,0.00002261760387397392
146,92097,PAULISTA,AÇO,4,INDUSTRIAL,,0.0009193115430927997
147,92096,RAMAL 378,AÇO,4,INDUSTRIAL,,0.010610289606425693
148,92368,POSTO PUCON,AÇO,4,INDUSTRIAL,,5.015974481593781e-8
149,92366,SÃO MATEUS,AÇO,2,INDUSTRIAL,,0.0005848476975173705
150,91948,BR-101,AÇO,4,INDUSTRIAL,,5.200355757061241e-7
151,91947,BR-101,AÇO,4,INDUSTRIAL,,0.0077773943069064
152,91946,POSTO ONZE,AÇO,3,INDUSTRIAL,,5.220009578535273e-7
153,91945,CV FRICON/POSTO ONZE,AÇO,3,INDUSTRIAL,,0.007777070443331464
154,92532,R. DOM VITAL,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00023444029909548572
155,92531,AV. CONSELHEIRO AGUIAR,PEAD,110,RESIDENCIAL/COMERCIAL,,0.0010769464616586142
156,92529,GREENMIX,PEAD,32,COMERCIAL,,0.00011302988846184483
157,91975,HACATA (PIPOCAS KARINTÓ),AÇO,1,INDUSTRIAL,,0.000002711137215265948
158,91974, ,AÇO,1,INDUSTRIAL,,1.0866922287382016e-7
159,91973,POSTO CEMOPEL,AÇO,3,INDUSTRIAL,,0.0001528260231649985
160,92525,GREENMIX,PEAD,32,COMERCIAL,,0.00009986128647635137
161,91900,R. ERNESTO DE PAULA SANTOS,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0008412694716427774
162,91897,EDIF. VILLA MARIA,PEAD,32,RESIDENCIAL,,0.000018411876954835434
163,91895,EDIF. VILLA MARIA,PEAD,32,RESIDENCIAL,,0.00008235865822515892
164,92311,PE-15,AÇO,8,INDUSTRIAL,,0.028343648347395094
165,92568,RECAU (BASE OPERACIONAL),AÇO,3,INDUSTRIAL,,0.00014305883458290905
166,92567,RECAU (BASE OPERACIONAL),AÇO,3,INDUSTRIAL,,0.000004567508073337145
167,92566,RECAU (BASE OPERACIONAL),AÇO,3,INDUSTRIAL,,0.0003423265512825437
168,92565,RECAU (BASE OPERACIONAL),AÇO,3,INDUSTRIAL,,0.000004546130002540623
169,92564,RECAU (BASE OPERACIONAL),AÇO,3,INDUSTRIAL,,0.00007315981481660543
170,92563,RECAU (RAMAL INTERNO BASE OPERACIONAL),AÇO,6,INDUSTRIAL,,0.000005635499711649358
171,92562,RECAU (RAMAL INTERNO BASE OPERACIONAL),AÇO,6,INDUSTRIAL,,0.00021020428677970827
180,91970,PIPOKAS BOKU'S,AÇO,2,INDUSTRIAL,,0.0017627173272312707
181,91938,RUA 59,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00020677955955558083
172,92551,RECAU (JABOATÃO/MORENO/VITORIA DE SANTO ANTÃO),AÇO,4,INDUSTRIAL,,0.0916966961727616
173,92095,SANTISTA,AÇO,4,INDUSTRIAL,,1e-9
174,92094,RAMAL 378,AÇO,6,INDUSTRIAL,,0.05573685230719404
175,92093,BR-101 NORTE,AÇO,4,INDUSTRIAL,,0.030680035079439845
176,92092,PARATIBE/BR-101,AÇO,6,INDUSTRIAL,,0.00922054320110378
177,92609,EDIF. BRISA DO MAR,PEAD,32,RESIDENCIAL,,0.00034035361800500345
178,92607,EDIF. BRISA DO MAR,PEAD,32,RESIDENCIAL,,0.00003454885620393242
179,92286,EDIF. ENCANTA MOÇA,PEAD,32,RESIDENCIAL,,0.000021559875556227128
182,91936,RUA 59,PEAD,63,RESIDENCIAL/COMERCIAL,,0.000045841216061531354
183,91935,RUA 59,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0010832201491940592
184,91934,RUA JOSÉ ADERVAL CHAVES,PEAD,32,RESIDENCIAL/COMERCIAL,,0.0011490692648670575
185,92237,R. AMAZONAS,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00017709746020378063
186,92123,NOVO MUNDO EMPRESARIAL,PEAD,32,COMERCIAL,,0.000009250246540098047
187,92091,BR-101 NORTE,AÇO,6,INDUSTRIAL,,0.0200765904241828
188,92470,BR-101 NORTE,AÇO,6,INDUSTRIAL,,4.123105625617661e-9
189,92467,FORMILINE,AÇO,6,INDUSTRIAL,,0.001163511167217359
190,92465,SANTISTA,AÇO,4,INDUSTRIAL,,0.00405313640133307
191,91926,EDIF. SAINT HONORE,PEAD,32,RESIDENCIAL,,0.000045758589154058924
192,91925,EDIF. SAINT HONORE,PEAD,32,RESIDENCIAL,,0.0008362895654604008
193,92751,R. MARIO SOUTO MAIOR,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00007841324768812984
194,92750,AV. PROF. AUGUSTO LINS E SILVA,PEAD,32,RESIDENCIAL/COMERCIAL,,0.0008174279434864213
195,92749,EDIF. MOENDA,AÇO,1,RESIDENCIAL,,0.00012794162834732593
