objectid,Código Gasoduto,Ramal,Código Material,Código Diâmetro,Finalidade,shape,st_length(shape)
750,92284,AV. ENG. DOMINGOS FERREIRA,PEAD,110,RESIDENCIAL/COMERCIAL,,0.0019833486868957137
751,91084,EDIF. VALDEMAR DE OLIVEIRA,PEAD,32,RESIDENCIAL,,0.000013705436731458067
752,92675,EDIF. PARADOR DE CASTILHA,PEAD,32,RESIDENCIAL,,0.000008190815649250079
753,91079,R. DOS NAVEGANTES,PEAD,110,RESIDENCIAL/COMERCIAL,,0.0000148629252098297
754,91077,R. DOM JOSÉ LOPES,PEAD,63,RESIDENCIAL/COMERCIAL,,0.000015854608951342823
755,91076,R. DOM JOSÉ LOPES,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0005866474196260913
756,91075,R. DOM JOSÉ LOPES,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0005715280680069167
757,91073,R. DOM JOSÉ LOPES,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0007463505633608718
758,90993,R. ERNESTO DE PAULA SANTOS,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0009209222028048868
759,90991,R. ERNESTO DE PAULA SANTOS,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00008328063773684448
760,91701,RAMAL NORTE,AÇO,4,INDUSTRIAL,,0.0004346575058407877
761,91700,RAMAL ALCOA,AÇO,4,INDUSTRIAL,,0.024509897942282855
762,91699,RAMAL (PE-075) - CONSIDERAR O AS BUILT DA RR PARA O TRECHO ENTRE OS PONTOS 421 E 445.,AÇO,3,INDUSTRIAL,,0.002283692673742705
763,91698,AV. BERNARDO VIEIRA DE MELO,PEAD,110,RESIDENCIAL/COMERCIAL,,0.0010652592857231598
764,91697,EDIF. EMIRATES TOWER,PEAD,32,RESIDENCIAL,,0.00004626497367339573
765,91694,EDIF. EMIRATES TOWER,PEAD,32,RESIDENCIAL,,0.00003465735553328498
766,91692,RECIFE PRAIA HOTEL,PEAD,32,RESIDENCIAL,,0.000017209281129669536
767,91690,RECIFE PRAIA HOTEL,PEAD,32,RESIDENCIAL,,0.00010017890916255777
768,91689,AV. HERCULANO BANDEIRA,PEAD,110,RESIDENCIAL/COMERCIAL,,0.00029238429322554245
769,91086,EDIF. GOLDEN RIVER,PEAD,32,RESIDENCIAL,,0.0003672824390577855
770,91069,R. DOM JOSÉ LOPES,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00014677567774272352
771,91067,R. DOM JOSÉ LOPES,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00008518256359138295
772,90388,INDUSTRIA ALNOR,AÇO,3,INDUSTRIAL,,0.000028164807641542406
773,90386,INDUSTRIA ALNOR,AÇO,3,INDUSTRIAL,,0.0022724223051016966
774,90385,INDUSTRIA ALNOR,AÇO,3,INDUSTRIAL,,0.003980706349505527
775,92299,POSTO ATLANTIDA,AÇO,6,INDUSTRIAL,,2.0880613017821103e-8
776,91839,R. MARIA DIGNA GAMEIRO,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00002411742378447582
777,91837,EDIF. PEDRA DO MAR,PEAD,32,RESIDENCIAL,,0.000023665003811286926
778,91835,EDIF. PEDRA DO MAR,PEAD,32,RESIDENCIAL,,0.000034769848561648924
779,91688,R. JOSÉ TRAJANO,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00011368899231867512
780,91686,EDIF. PORTO EIVISSA,PEAD,32,RESIDENCIAL,,0.000010397651369419925
781,91065,R. DOM JOSÉ LOPES,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0010787031137664488
782,91064,R. GAL. LUIZ MALLET,PEAD,63,RESIDENCIAL/COMERCIAL,,0.000398279167867974
783,91063,VISCONDE JEQUITINHONHA,PEAD,110,RESIDENCIAL/COMERCIAL,,0.0005541471627889953
784,91062,VISCONDE JEQUITINHONHA,PEAD,110,RESIDENCIAL/COMERCIAL,,0.0003022162508441123
785,91061,R. DR. JOÃO GUILHERME DE PONTES SOBRINHO,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00028936663632492254
786,91060,R. CARLOS PEREIRA FALCÃO,PEAD,63,RESIDENCIAL/COMERCIAL,,0.000042518009631910566
787,91059,R. CARLOS PEREIRA FALCÃO,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00001623677328795445
788,91769,SAÍDA DA ERP 422.6,PEAD,110,RESIDENCIAL/COMERCIAL,,0.00002372826432759042
789,91768,ENTRADA ERP 422.6,AÇO,10,INDUSTRIAL,,0.000015845820494639348
790,91767,POSTO TANCREDO NEVES,AÇO,2,INDUSTRIAL,,0.000015844799704005398
791,91766,R. AMERICANO FREIRE,PEAD,160,RESIDENCIAL/COMERCIAL,,0.00005617038685184732
792,91763,SAÍDA DA ERP 422.6,PEAD,110,RESIDENCIAL/COMERCIAL,,0.00031023160767443736
793,91834,R. CARLOS PEREIRA FALCÃO,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0003492411932597815
794,91802,EDIF. PRINCIPE DE ANDORRA,PEAD,32,RESIDENCIAL,,0.000013182031482286787
795,91801,EDIF. PRINCIPE DE ANDORRA,PEAD,32,RESIDENCIAL,,0.000032017286955643196
796,91800,AV. VISCONDE DE JEQUITINHONHA,PEAD,110,RESIDENCIAL/COMERCIAL,,0.00026832734277018627
797,92007,POSTO CARTAXO,AÇO,4,INDUSTRIAL,,0.0003495259417014459
798,91798,EDIF. SAINT THOMAS,PEAD,32,RESIDENCIAL,,0.00001153564051104229
799,91796,EDIF. SAINT THOMAS,PEAD,32,RESIDENCIAL,,0.000042770522208642714
800,91719,CELITE,AÇO,4,INDUSTRIAL,,0.0004009676011782668
801,91718,RAMAL CORAL,AÇO,3,INDUSTRIAL,,0.0004174089443602847
802,91717,TIP,AÇO,6,INDUSTRIAL,,0.00010205671172543869
803,91715,TIP,AÇO,6,INDUSTRIAL,,0.00006415232616982801
804,91714,POSTO PETROCAL / EX-CEASA BR,AÇO,3,INDUSTRIAL,,0.0001823549244434956
805,91713,AV. ENG. ABDIAS DE CARVALHO,AÇO,10,INDUSTRIAL,,0.00014006737165451848
806,91712,POSTO BR JOCKEY,AÇO,2,INDUSTRIAL,,0.00001735292032574602
807,91058,R. CARLOS PEREIRA FALCÃO,PEAD,63,RESIDENCIAL/COMERCIAL,,0.000992109671254479
808,91057,R. CARLOS PEREIRA FALCÃO,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00025770306763114116
809,91056,R. CARLOS PEREIRA FALCÃO,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00005707078277281114
810,91055,R. CARLOS PEREIRA FALCÃO,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0002807349982774921
811,91054,EDIF. FIRST CRYSTAL HOME,PEAD,63,RESIDENCIAL,,0.0001371277468396204
812,91053,R. CEL. SÉRGIO HENRIQUE CARDIM,PEAD,110,RESIDENCIAL/COMERCIAL,,0.0017794082407279344
813,91711,R. POTYRA (P/IBIZA) -,AÇO,3,INDUSTRIAL,,0.003134368111714575
814,91710,AV. ENG. ABDIAS DE CARVALHO,AÇO,10,INDUSTRIAL,,0.002336690966761186
815,91709,POSTO CEMOPEL 2,AÇO,4,INDUSTRIAL,,0.00021375704306100232
816,91708,POSTO CEMOPEL 2,AÇO,4,INDUSTRIAL,,0.000025547206973225344
817,91707,POSTO CEMOPEL 2,AÇO,4,INDUSTRIAL,,0.00010612149638856055
818,91706,POSTO CEMOPEL 2,AÇO,4,INDUSTRIAL,,0.0015952965200283613
819,91705,POSTO SUPERGÁS,AÇO,4,INDUSTRIAL,,0.00032347809270981827
820,91704,INDÚSTRIA GALVANISA,AÇO,3,INDUSTRIAL,,0.0010064698355210266
821,91357,R. DOM JOSÉ LOPES,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00011830925293701448
822,91354,EDIF. CHATEAU DES TOUR,PEAD,32,RESIDENCIAL,,0.000021255165513352277
823,91353,EDIF. CHATEAU DES TOUR,PEAD,32,RESIDENCIAL,,0.00023316583091954974
824,91348,R. AMERICANO FREIRE,PEAD,160,RESIDENCIAL/COMERCIAL,,0.00004970278487204571
825,91346,EDIF. PRAIA DE JACAREÍPE,PEAD,32,RESIDENCIAL,,0.000024581148589925575
826,91345,EDIF. PRAIA DE JACAREÍPE,PEAD,32,RESIDENCIAL,,0.000029372549582901377
827,91344, EDF. PLACE DE LA CONCORDE,PEAD,32,RESIDENCIAL,,0.00001586275385927677
828,91342,R. AGENOR LOPES,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0005277912941842568
829,91341,EDIF. LIVERPOOL,PEAD,32,RESIDENCIAL,,0.00007526735922695841
830,91340,EDIF. LIVERPOOL,PEAD,32,RESIDENCIAL,,0.000018591278734933753
831,91339,R. ARNOULD DE HOLANDA,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00034817618515989697
832,91337,EDIF. PRAIA DE JACARECICA,PEAD,32,RESIDENCIAL,,0.000017399598414906018
833,91336,EDIF. PRAIA DE JACARECICA,PEAD,32,RESIDENCIAL,,0.000013341532633097294
834,91052,R. DOS NAVEGANTES,PEAD,110,RESIDENCIAL/COMERCIAL,,0.0009069169768413084
835,92006,AV. PRES. KENNEDY,AÇO,4,INDUSTRIAL,,0.008355323196598482
836,91703,P/POSTO TEXACO 5 ESTRELAS,AÇO,2,INDUSTRIAL,,0.000013396209519374706
837,91702,L. PRIORI,AÇO,2,INDUSTRIAL,,0.000040193102791399415
838,91680,RUA INFANTIL WALT DISNEY,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0003426702284852646
839,91679,EDIF. MORADA ATLANTIDA,PEAD,32,RESIDENCIAL,,0.00005738574324690759
840,91677,EDIF. MORADA ATLANTIDA,PEAD,32,RESIDENCIAL,,0.00002163266088579951
841,91676,AV. CONSELHEIRO AGUIAR,PEAD,110,RESIDENCIAL/COMERCIAL,,0.0007122971582977403
842,91638,HOTEL SHERATON,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00015047476773532496
843,91637,RUA 57,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0009606050598637548
844,91051,R. DOS NAVEGANTES,PEAD,110,RESIDENCIAL/COMERCIAL,,0.0002848774910942838
845,91050,R. DOS NAVEGANTES,PEAD,110,RESIDENCIAL/COMERCIAL,,0.0015287682307426039
846,91041,R. AMERICANO FREIRE,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0005663678693040416
847,91039,R. AMERICANO FREIRE,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00014390061822735944
848,91038,R. DOM JOSÉ LOPES,PEAD,63,RESIDENCIAL/COMERCIAL,,0.000633911429561358
849,91027,R. CARLOS PEREIRA FALCÃO,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0009594121816621859
850,91636,TERRAÇO LAGUNA,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00002370745083301872
851,91635,TERRAÇO LAGUNA,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00024898531235797826
852,91633,EXPANSÃO PAIVA,PEAD,63,RESIDENCIAL/COMERCIAL,,0.000013835090879036295
853,91632,RUA 57,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0008689809762334083
854,91634,EXPANSÃO PAIVA,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0002813138780194579
855,91036,R. DOM JOSÉ LOPES,PEAD,63,RESIDENCIAL/COMERCIAL,,7.403039916142557e-7
856,91035,R. DOM JOSÉ LOPES,PEAD,63,RESIDENCIAL/COMERCIAL,,7.110344576741693e-7
857,91034,R. DOM JOSÉ LOPES,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00021564977302682993
858,91033,R. AMÁLIA BERNADINO DE SOUSA,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00042383700683317816
859,91031,R. DES JOÃO PAES,PEAD,63,RESIDENCIAL/COMERCIAL,,0.000002667408667602323
860,91032,R. AMÁLIA BERNADINO DE SOUSA,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0006527482879043039
861,91029,R. CARLOS PEREIRA FALCÃO,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0004902815115526156
862,92081,FRICALOR,AÇO,4,INDUSTRIAL,,0.000028915514192211765
863,92080,FRICALOR,AÇO,4,INDUSTRIAL,,1.4142135623730951e-9
864,92032,AV. BERNARDO VIEIRA DE MELO,PEAD,110,RESIDENCIAL/COMERCIAL,,0.0007105008964574724
865,91025,R. CARLOS PEREIRA FALCÃO,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0008001528756824686
866,92771,AV. ABDO CABUS  (PROJETO),PEAD,63,RESIDENCIAL/COMERCIAL,,0.00005258492373683232
867,92769,AV. ABDO CABUS,PEAD,63,RESIDENCIAL/COMERCIAL,,0.007917102749784329
868,91731,POSTO SÃO SEBASTIÃO / MOTEL SENZALA / DERIV. LAFEPE (LEVANTAMENTO PLANAL E RR),AÇO,6,INDUSTRIAL,,0.002323639086845289
869,91730,EROS HOTEL E RHODES HOTEL,AÇO,1,INDUSTRIAL,,0.001972582883276591
870,91533,RAMAL DE SERVIÇO ITAIPAVA,AÇO,4,INDUSTRIAL,,0.00372004217491004
871,91024,R. RIBEIRO DE BRITO,PEAD,110,RESIDENCIAL/COMERCIAL,,0.0003011976899473131
872,91023,R. CARLOS PEREIRA FALCÃO,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00048385828454413856
873,91021,R. CARLOS PEREIRA FALCÃO,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0006080184792179108
874,91019,R. CARLOS PEREIRA FALCÃO,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00011187181440380291
875,91017,R. CARLOS PEREIRA FALCÃO,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00007472818032272348
876,91015,R. CARLOS PEREIRA FALCÃO,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0004140422919077227
877,91775,R. BALTAZAR PASSOS,PEAD,63,RESIDENCIAL/COMERCIAL,,0.000013286539128004704
878,91772,EDIF. CASTELLO DEI PRINCIPE,PEAD,32,RESIDENCIAL,,0.000016319424499656842
879,91749,EDIF. CHATEAU LA TOUR,PEAD,32,RESIDENCIAL,,0.00005546311273402922
880,91747,EDIF. CHATEAU LA TOUR,PEAD,32,RESIDENCIAL,,0.00003399654620693108
881,91745,EDIF. ENSEADA DA BARRA,PEAD,32,RESIDENCIAL,,0.000020829339523854327
882,91743,EDIF. ENSEADA DA BARRA,PEAD,32,RESIDENCIAL,,0.00013292677362367598
883,91736,POSTO SANTA EMÍLIA,AÇO,2,INDUSTRIAL,,0.001103254081135991
884,91735,POSTO SÃO SEBASTIÃO / MOTEL SENZALA / DERIV. LAFEPE (LEVANTAMENTO PLANAL E RR),AÇO,6,INDUSTRIAL,,0.0015939676951481666
885,91616,AV. DR. JÚLIO MARANHÃO,AÇO,6,INDUSTRIAL,,0.009341436823218363
886,92689,EDIF. MORADA DAS PALMEIRAS,PEAD,32,RESIDENCIAL,,0.000030106121918971893
887,92687,EDIF. MORADA DAS PALMEIRAS,PEAD,32,RESIDENCIAL,,0.0000020487893986449657
888,92686,R. TENENTE JOÃO CÍCERO,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00044361260979960217
889,92030,EDIF. ENSEADA,PEAD,32,RESIDENCIAL,,0.000014975203938511155
890,92028,EDIF. ENSEADA,PEAD,32,RESIDENCIAL,,0.0005614873311633349
947,89550,EDIF. HAVANA,PEAD,32,RESIDENCIAL,,0.00002714281660034566
891,91615,R. MAMANGUAPE,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0000710315301073911
892,92027,AV. BERNARDO VIEIRA DE MELO,PEAD,110,RESIDENCIAL/COMERCIAL,,0.0001743089264003952
893,92680,R. SETÚBAL,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0002948908520068444
894,91432,PADARIA GLOBO,PEAD,32,COMERCIAL,,0.0000559129297568997
895,91389,EDIF. DOM AFONSO HENRIQUE,PEAD,32,RESIDENCIAL,,0.00003685410420983049
896,91388,EDIF. DOM AFONSO HENRIQUE,PEAD,32,RESIDENCIAL,,0.00008748562106784694
897,91386,R.  DOS NAVEGANTES,PEAD,110,RESIDENCIAL/COMERCIAL,,0.0004656551267153363
898,91385,R. FRANCISCO DA CUNHA,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0002539177362628135
899,91382,EDIF. SAINT MICHEL,PEAD,32,RESIDENCIAL,,0.0000082522436343094
900,91381,EDIF. SAINT MICHEL,PEAD,32,RESIDENCIAL,,0.0001507863091961601
901,91329,COND. MORADA DA PENÍNSULA,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0005766501422611102
902,91013,R. CARLOS PEREIRA FALCÃO,PEAD,63,RESIDENCIAL/COMERCIAL,,0.000052503416882352513
903,90516,INDÚSTRIA PEPSICO,AÇO,2,INDUSTRIAL,,0.005042251959468406
904,90493,LE PARC,PEAD,63,RESIDENCIAL,,0.0007781913131173828
905,91729,AV. CAXANGÁ,AÇO,6,INDUSTRIAL,,0.0020897252495721236
906,91728,AV. CAXANGÁ,AÇO,6,INDUSTRIAL,,0.00042310867629009045
907,91726,AV. CAXANGÁ,AÇO,6,INDUSTRIAL,,0.006079846649089845
908,91531,RAMAL 341,AÇO,8,INDUSTRIAL,,0.00035875663389685217
909,91322,COND. MORADA DA PENÍNSULA,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00025906708084050387
910,91321,COND. MORADA DA PENÍNSULA,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0002626437230178218
911,91308,COND. MORADA DA PENÍNSULA,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00025775781869368815
912,91568,R.  DOS NAVEGANTES,PEAD,110,RESIDENCIAL/COMERCIAL,,0.0000029250945283870744
913,91565,EDIF. ALGARVE,PEAD,32,RESIDENCIAL,,0.000026360756305538733
914,91553,EMPÓRIO MISTER CARNES/SAMPA NIGHT CLUB,PEAD,32,COMERCIAL,,5.197114584074513e-8
915,91327,COND. MORADA DA PENÍNSULA,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00025845865757067904
916,91551,EMPÓRIO MISTER CARNES/SAMPA NIGHT CLUB,PEAD,32,COMERCIAL,,6.140032573203501e-8
917,91331,AV. AYRTON SENNA DA SILVA,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0007116146134777897
918,91324,COND. MORADA DA PENÍNSULA,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00025863477034212493
919,91319,COND. MORADA DA PENÍNSULA,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0002593848642122392
920,91306,COND. MORADA DA PENÍNSULA,PEAD,63,RESIDENCIAL/COMERCIAL,,0.000006966914094489754
921,91271,COND. MORADA DA PENÍNSULA,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00023436620113982725
922,91270,COND. MORADA DA PENÍNSULA,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0002309989412973757
923,91269,COND. MORADA DA PENÍNSULA,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00023372659400389386
924,91268,COND. MORADA DA PENÍNSULA,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0002021319117211045
925,91267,COND. MORADA DA PENÍNSULA,PEAD,63,RESIDENCIAL/COMERCIAL,,0.000331021300076874
926,91266,COND. MORADA DA PENÍNSULA,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0002320316054594999
927,91265,COND. MORADA DA PENÍNSULA,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00023168363135101956
928,91264,COND. MORADA DA PENÍNSULA,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00023037417413417348
929,91263,COND. MORADA DA PENÍNSULA,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00023099041862523963
930,91262,COND. MORADA DA PENÍNSULA,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00023260644466708863
931,91261,COND. MORADA DA PENÍNSULA,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00024813113584741634
932,89556,LAÇA BURGUER (SETÚBAL),PEAD,32,COMERCIAL,,0.000021279883575809338
933,89471,PE-062 (GOIANA),AÇO,4,INDUSTRIAL,,0.012051489965440169
934,91886,IF PRE-MOLDADOS,AÇO,3,INDUSTRIAL,,0.003534146752257899
935,91858,AV. BERNARDO VIEIRA DE MELO,PEAD,110,RESIDENCIAL/COMERCIAL,,0.0009452166817219569
936,89470,PE-062 (GOIANA),AÇO,3,INDUSTRIAL,,0.008322859763626811
937,89368,RDP 395.3 - MADALENA e TORRE (PROJETO),PEAD,63,RESIDENCIAL/COMERCIAL,,0.0012602891635078884
938,89367,RDP 395.3 - MADALENA e TORRE (PROJETO),PEAD,63,RESIDENCIAL/COMERCIAL,,0.007480680300936032
939,89366,RDP 395.3 - MADALENA e TORRE (PROJETO),PEAD,63,RESIDENCIAL/COMERCIAL,,0.008177403692958806
940,89768,INDÚSTRIA GALVANISA,AÇO,3,INDUSTRIAL,,0.0009990344700470343
941,89767,INDÚSTRIA GALVANISA,AÇO,3,INDUSTRIAL,,0.000426754295454898
942,89315,BOLSÃO ESPINHEIRO,PEAD,63,RESIDENCIAL/COMERCIAL,,0.008549688114364108
943,89314,BOLSÃO ESPINHEIRO,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0010175432228383045
944,89313,BOLSÃO ESPINHEIRO,PEAD,63,RESIDENCIAL/COMERCIAL,,0.006065660558363738
945,89312,BOLSÃO ESPINHEIRO,PEAD,63,RESIDENCIAL/COMERCIAL,,0.007738680516236403
948,89546,EDIF. RAUL FREIRE DE SOUZA,PEAD,32,RESIDENCIAL,,0.000013111592771284502
949,89545,EDIF. RAUL FREIRE DE SOUZA,PEAD,32,RESIDENCIAL,,0.00010116151292364108
950,89542,DIPLOMATA DELICATESSEN,PEAD,32,COMERCIAL,,0.00005550181018972311
951,89541,DIPLOMATA DELICATESSEN,PEAD,32,COMERCIAL,,0.00013636455563305298
952,89538,R. ELIAS JORGE KABBAZ,PEAD,110,RESIDENCIAL/COMERCIAL,,0.00011906469469343442
953,89513,EDIF. RIO ARAGUAIA,PEAD,32,RESIDENCIAL,,0.00006996091962570953
954,89512,EDIF. RIO ARAGUAIA,PEAD,32,RESIDENCIAL,,0.000029024547300517882
955,89509,EDIF. ENCANTA MOÇA,PEAD,32,RESIDENCIAL,,0.000008659592831074681
956,89505,DOM RAFAEL,PEAD,32,COMERCIAL,,0.000039290578463545177
957,89508,EDIF. ENCANTA MOÇA,PEAD,32,RESIDENCIAL,,0.0006050614679389105
958,89504,DOM RAFAEL,PEAD,32,COMERCIAL,,0.00030510439227927726
959,89365,RDP 395.3 - MADALENA e TORRE (PROJETO),PEAD,63,RESIDENCIAL/COMERCIAL,,0.0030546048626032625
960,89364,RDP 395.3 - MADALENA e TORRE (PROJETO),PEAD,63,RESIDENCIAL/COMERCIAL,,0.002087536621823437
961,89363,RDP 395.3 - MADALENA/TORRE,PEAD,63,RESIDENCIAL/COMERCIAL,,0.01282485399843877
962,89362,RDP 395.3 - MADALENA e TORRE (PROJETO),PEAD,63,RESIDENCIAL/COMERCIAL,,0.0011700219609154044
963,88728,R. DONA MARIA CAROLINA / RUA MINISTRO NELSON HUNGRIA,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00023800734816826357
964,90478,LE PARC,PEAD,63,RESIDENCIAL,,0.00024342969700492917
965,89765,INDÚSTRIA TECSIL,AÇO,2,INDUSTRIAL,,0.005261600135321343
966,89764,TECSIL,AÇO,2,INDUSTRIAL,,0.0006961413523703358
967,91628,EDIF. ALVARO COSTA,PEAD,32,RESIDENCIAL,,0.000020852247696591366
968,89311,BOLSÃO ESPINHEIRO,PEAD,63,RESIDENCIAL/COMERCIAL,,0.001379118523546364
969,89310,BOLSÃO ESPINHEIRO,PEAD,63,RESIDENCIAL/COMERCIAL,,0.001141500590992107
970,89309,BOLSÃO ESPINHEIRO,PEAD,63,RESIDENCIAL/COMERCIAL,,0.003869605627594753
971,89308,BOLSÃO ESPINHEIRO,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0037123874882962517
972,89307,BOLSÃO ESPINHEIRO,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0010644870762262775
973,89306,BOLSÃO ESPINHEIRO,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0012156320573343906
994,89761,POSTO TEXACO 5 ESTRELAS,AÇO,4,INDUSTRIAL,,0.00030586530029206937
1015,89359,RDP 395.3 - MADALENA e TORRE (PROJETO),PEAD,63,RESIDENCIAL/COMERCIAL,,0.0010195270565211032
974,89443,RDP 395.3 - MADALENA/TORRE,PEAD,63,RESIDENCIAL/COMERCIAL,,0.01863170455326349
975,91853,AV. HERCULANO BANDEIRA,PEAD,110,RESIDENCIAL/COMERCIAL,,0.0031111958218345013
976,89477,EDIF. PAÇO IMPERIAL,PEAD,32,RESIDENCIAL,,0.000012669642905826281
977,89462,EDIF. LUANDA,PEAD,32,RESIDENCIAL,,0.0000393236105652384
978,89461,R. WILFRID RUSSEL SHORTO,PEAD,32,RESIDENCIAL/COMERCIAL,,0.0008689653136322531
979,89460,EMPÓRIO MISTER CARNES/SAMPA NIGHT CLUB,PEAD,32,COMERCIAL,,0.00009950540803277955
980,89448,RUA SOLIDÔNIO LEITE,PEAD,32,RESIDENCIAL/COMERCIAL,,0.00004319026358806844
981,89447,RUA SOLIDÔNIO LEITE,PEAD,32,RESIDENCIAL/COMERCIAL,,0.0009555953323695135
982,89446,RUA ARTUR MUNIZ,PEAD,32,RESIDENCIAL/COMERCIAL,,0.0008416111829720313
983,89763,ALIMENTOS SAMPAIO,AÇO,2,INDUSTRIAL,,0.005877071723572334
984,88203,EXPANSÃO PAIVA,PEAD,110,RESIDENCIAL/COMERCIAL,,0.0028024306636419026
985,89305,BOLSÃO ESPINHEIRO,PEAD,63,RESIDENCIAL/COMERCIAL,,0.009877703726930245
986,89304,BOLSÃO ESPINHEIRO,PEAD,63,RESIDENCIAL/COMERCIAL,,0.001500975458684872
987,89302,BOLSÃO ESPINHEIRO,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0016588458161683553
988,89301,BOLSÃO ESPINHEIRO,PEAD,63,RESIDENCIAL/COMERCIAL,,0.006523752183415992
989,89303,BOLSÃO ESPINHEIRO,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0015621645858569131
990,88566,AV. BERNARDO VIEIRA DE MELO,PEAD,110,RESIDENCIAL/COMERCIAL,,0.00004535322772416534
991,88561,AV. BERNARDO VIEIRA DE MELO,PEAD,110,RESIDENCIAL/COMERCIAL,,0.00008602049490169943
992,89361,RDP 395.3 - MADALENA e TORRE (PROJETO),PEAD,63,RESIDENCIAL/COMERCIAL,,0.0027389990029228523
993,91856,BIRITEIRO BOTEQUIM,PEAD,32,COMERCIAL,,0.00040069719239595685
2881,92351,CONFIANÇA,AÇO,2,INDUSTRIAL,,1.7029386365926403e-8
995,89760,POSTO TEXACO 5 ESTRELAS,AÇO,2,INDUSTRIAL,,0.010513421422118852
996,92084,RUA DA LINHA/BR-101,AÇO,4,INDUSTRIAL,,0.04190838021567451
997,92083,ESTRADA DE AGUAS FRIAS,AÇO,4,INDUSTRIAL,,0.013427270606220048
998,89300,BOLSÃO ESPINHEIRO,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0006077413341159214
999,89299,BOLSÃO ESPINHEIRO,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00592599785627268
1000,88402,R. DOM VITAL,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00008437382780558973
1001,88401,R. DOM VITAL,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0001816001576370294
1002,88400,R. ROSANGELA C. WANDERLEY,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00025628858074835676
1003,88399,R. ROSANGELA C. WANDERLEY,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00012322314907922132
